Rank,Title,Studio,Total Gross,Theaters,Opening,Theaters,Open,Close,link
1,Rogue One: A Star Wars Story,BV,"$532,177,324","4,157","$155,081,681","4,157",12-16,5-4,/movies/?id=starwars2016.htm
2,Finding Dory,BV,"$486,295,561","4,305","$135,060,273","4,305",6-17,12-8,/movies/?id=pixar2015.htm
3,Captain America: Civil War,BV,"$408,084,349","4,226","$179,139,142","4,226",5-6,9-22,/movies/?id=marvel2016.htm
4,The Secret Life of Pets,Uni.,"$368,384,330","4,381","$104,352,905","4,370",7-8,12-29,/movies/?id=illumination2015.htm
5,The Jungle Book (2016),BV,"$364,001,123","4,144","$103,261,464","4,028",4-15,9-29,/movies/?id=junglebook2015.htm
6,Deadpool,Fox,"$363,070,709","3,856","$132,434,639","3,558",2-12,6-16,/movies/?id=deadpool2016.htm
7,Zootopia,BV,"$341,268,248","3,959","$75,063,401","3,827",3-4,8-4,/movies/?id=disney2016.htm
8,Batman v Superman: Dawn of Justice,WB,"$330,360,194","4,256","$166,007,347","4,242",3-25,6-16,/movies/?id=superman2015.htm
9,Suicide Squad,WB,"$325,100,054","4,255","$133,682,248","4,255",8-5,11-10,/movies/?id=dc2016.htm
10,Sing,Uni.,"$270,395,425","4,029","$35,258,145","4,022",12-21,5-11,/movies/?id=illumination2016.htm
11,Moana,BV,"$248,757,044","3,875","$56,631,401","3,875",11-23,4-27,/movies/?id=disney1116.htm
12,Fantastic Beasts and Where To Find Them,WB,"$234,037,575","4,144","$74,403,387","4,144",11-18,3-30,/movies/?id=fantasticbeasts.htm
13,Doctor Strange,BV,"$232,641,920","3,882","$85,058,311","3,882",11-4,3-16,/movies/?id=marvel716.htm
14,Hidden Figures,Fox,"$169,607,287","3,416","$515,499",25,12-25,11-9,/movies/?id=hiddenfigures.htm
15,Jason Bourne,Uni.,"$162,434,410","4,039","$59,215,365","4,026",7-29,12-22,/movies/?id=bourne5.htm
16,Star Trek Beyond,Par.,"$158,848,340","3,928","$59,253,211","3,928",7-22,10-20,/movies/?id=startrek2016.htm
17,X-Men: Apocalypse,Fox,"$155,442,489","4,153","$65,769,562","4,150",5-27,7-28,/movies/?id=x-men2016.htm
18,Trolls,Fox,"$153,707,064","4,066","$46,581,142","4,060",11-4,3-30,/movies/?id=trolls.htm
19,La La Land,LG/S,"$151,101,803","3,236","$881,104",5,12-9,4-27,/movies/?id=lalaland.htm
20,Kung Fu Panda 3,Fox,"$143,528,619","3,987","$41,282,042","3,955",1-29,7-21,/movies/?id=kungfupanda3.htm
21,Ghostbusters (2016),Sony,"$128,350,574","3,963","$46,018,755","3,963",7-15,11-10,/movies/?id=ghostbusters2016.htm
22,Central Intelligence,WB (NL),"$127,440,871","3,508","$35,535,250","3,508",6-17,9-1,/movies/?id=centralintelligence.htm
23,The Legend of Tarzan,WB,"$126,643,061","3,591","$38,527,856","3,561",7-1,9-15,/movies/?id=tarzan2016.htm
24,Sully,WB,"$125,070,033","3,955","$35,028,301","3,525",9-9,1-26,/movies/?id=sully.htm
25,Bad Moms,STX,"$113,257,297","3,215","$23,817,340","3,215",7-29,10-27,/movies/?id=untitledlucasmoore.htm
26,The Angry Birds Movie,Sony,"$107,509,366","3,932","$38,155,177","3,932",5-20,9-15,/movies/?id=angrybirds.htm
27,Independence Day: Resurgence,Fox,"$103,144,286","4,130","$41,039,944","4,130",6-24,9-15,/movies/?id=id42.htm
28,The Conjuring 2,WB (NL),"$102,470,008","3,356","$40,406,314","3,343",6-10,8-25,/movies/?id=conjuring2.htm
29,Arrival,Par.,"$100,546,139","3,115","$24,074,047","2,317",11-11,3-9,/movies/?id=arrival2016.htm
30,Passengers (2016),Sony,"$100,014,699","3,478","$14,869,736","3,478",12-21,4-20,/movies/?id=passengers2016.htm
31,Sausage Party,Sony,"$97,685,686","3,135","$34,263,534","3,103",8-12,12-22,/movies/?id=sausageparty.htm
32,The Magnificent Seven (2016),Sony,"$93,432,655","3,696","$34,703,397","3,674",9-23,1-5,/movies/?id=themagnificentseven.htm
33,Ride Along 2,Uni.,"$91,221,830","3,192","$35,243,095","3,175",1-15,6-16,/movies/?id=ridealong2.htm
34,Don't Breathe,SGem,"$89,217,875","3,384","$26,411,706","3,051",8-26,12-22,/movies/?id=dontbreathe.htm
35,Miss Peregrine's Home for Peculiar Children,Fox,"$87,242,834","3,835","$28,871,140","3,522",9-30,2-9,/movies/?id=peregrine.htm
36,The Accountant,WB,"$86,260,045","3,402","$24,710,273","3,332",10-14,1-12,/movies/?id=theaccountant.htm
37,Teenage Mutant Ninja Turtles: Out of the Shadows,Par.,"$82,051,601","4,071","$35,316,382","4,071",6-3,9-8,/movies/?id=tmnt2016.htm
38,The Purge: Election Year,Uni.,"$79,213,375","2,821","$31,515,110","2,796",7-1,10-13,/movies/?id=purge3.htm
39,Alice Through the Looking Glass,BV,"$77,041,381","3,763","$26,858,726","3,763",5-27,9-1,/movies/?id=alice2.htm
40,Pete's Dragon (2016),BV,"$76,233,151","3,702","$21,514,095","3,702",8-12,12-15,/movies/?id=petesdragon2016.htm
41,The Girl on the Train (2016),Uni.,"$75,395,035","3,241","$24,536,265","3,144",10-7,12-29,/movies/?id=thegirlonthetrain2016.htm
42,Boo! A Madea Halloween,LGF,"$73,206,343","2,299","$28,501,448","2,260",10-21,12-22,/movies/?id=booamadeahalloween.htm
43,Storks,WB,"$72,679,278","3,922","$21,311,407","3,922",9-23,1-12,/movies/?id=storks.htm
44,10 Cloverfield Lane,Par.,"$72,082,998","3,427","$24,727,437","3,391",3-11,6-2,/movies/?id=badrobot2016.htm
45,Lights Out,WB (NL),"$67,268,835","2,835","$21,688,103","2,818",7-22,9-29,/movies/?id=newline0116.htm
46,Hacksaw Ridge,LGF,"$67,209,615","2,971","$15,190,758","2,886",11-4,3-9,/movies/?id=hacksawridge.htm
47,The Divergent Series: Allegiant,LG/S,"$66,184,051","3,740","$29,027,348","3,740",3-18,6-2,/movies/?id=allegiant.htm
48,Now You See Me 2,LG/S,"$65,075,540","3,232","$22,383,146","3,232",6-10,8-25,/movies/?id=nowyouseeme2.htm
49,Ice Age: Collision Course,Fox,"$64,063,008","3,997","$21,373,064","3,992",7-22,11-3,/movies/?id=iceage5.htm
50,The Boss,Uni.,"$63,285,885","3,495","$23,586,645","3,480",4-8,8-4,/movies/?id=michelledarnell.htm
51,London Has Fallen,Focus,"$62,524,260","3,492","$21,635,601","3,490",3-4,6-2,/movies/?id=londonhasfallen.htm
52,Miracles from Heaven,TriS,"$61,705,123","3,155","$14,812,393","3,047",3-16,7-21,/movies/?id=miraclesfromheaven.htm
53,Deepwater Horizon,LG/S,"$61,433,527","3,403","$20,223,544","3,259",9-30,12-15,/movies/?id=deepwaterhorizon.htm
54,Why Him?,Fox,"$60,323,786","3,008","$11,002,986","2,917",12-23,3-23,/movies/?id=whyhim.htm
55,My Big Fat Greek Wedding 2,Uni.,"$59,689,605","3,179","$17,861,950","3,133",3-25,5-26,/movies/?id=mybigfatgreekwedding2.htm
56,Jack Reacher: Never Go Back,Par.,"$58,697,076","3,780","$22,872,490","3,780",10-21,1-12,/movies/?id=jackreacher2.htm
57,Fences,Par.,"$57,682,904","2,368","$129,462",4,12-16,3-30,/movies/?id=fences.htm
58,Me Before You,WB (NL),"$56,245,075","2,762","$18,723,269","2,704",6-3,8-18,/movies/?id=mebeforeyou.htm
59,The BFG,BV,"$55,483,770","3,392","$18,775,350","3,357",7-1,10-13,/movies/?id=bfg.htm
60,Neighbors 2: Sorority Rising,Uni.,"$55,455,765","3,416","$21,760,405","3,384",5-20,7-14,/movies/?id=universalcomedy2016.htm
61,The Shallows,Sony,"$55,124,043","2,962","$16,800,868","2,962",6-24,9-29,/movies/?id=theshallows.htm
62,Office Christmas Party,Par.,"$54,767,494","3,210","$16,890,204","3,210",12-9,1-26,/movies/?id=officechristmasparty.htm
63,Assassin's Creed,Fox,"$54,647,948","2,996","$10,278,225","2,970",12-21,3-9,/movies/?id=assassinscreed.htm
64,Barbershop: The Next Cut,WB (NL),"$54,030,051","2,676","$20,242,415","2,661",4-15,7-14,/movies/?id=barbershop3.htm
65,13 Hours: The Secret Soldiers of Benghazi,Par.,"$52,853,219","2,917","$16,194,738","2,389",1-15,3-24,/movies/?id=13hoursthesecretsoldiersofbenghazi.htm
66,Lion,Wein.,"$51,738,905","1,802","$123,360",4,11-25,5-11,/movies/?id=lion.htm
67,The Huntsman: Winter's War,Uni.,"$48,390,190","3,802","$19,445,035","3,791",4-22,8-4,/movies/?id=huntsman.htm
68,Kubo and the Two Strings,Focus,"$48,023,088","3,279","$12,608,372","3,260",8-19,12-1,/movies/?id=kuboandthetwostrings.htm
69,Manchester by the Sea,RAtt.,"$47,695,371","1,213","$256,498",4,11-18,4-27,/movies/?id=manchesterbythesea.htm
70,Warcraft,Uni.,"$47,365,290","3,406","$24,166,110","3,400",6-10,9-8,/movies/?id=warcraft.htm
71,How to Be Single,WB (NL),"$46,843,513","3,357","$17,878,911","3,343",2-12,4-14,/movies/?id=howtobesingle.htm
72,Mike and Dave Need Wedding Dates,Fox,"$46,009,673","3,008","$16,628,170","2,982",7-8,10-13,/movies/?id=mikeanddave.htm
73,War Dogs,WB,"$43,034,523","3,258","$14,685,305","3,258",8-19,10-20,/movies/?id=armsandthedudes.htm
74,Almost Christmas,Uni.,"$42,158,780","2,379","$15,134,235","2,376",11-11,1-12,/movies/?id=ameyerschristmas.htm
75,Money Monster,TriS,"$41,012,075","3,104","$14,788,157","3,104",5-13,8-4,/movies/?id=moneymonster.htm
76,Allied,Par.,"$40,098,064","3,160","$12,701,743","3,160",11-23,1-26,/movies/?id=pittcotillard.htm
77,Nerve,LGF,"$38,583,626","2,538","$9,445,456","2,538",7-27,10-6,/movies/?id=nerve.htm
78,Risen,Sony,"$36,880,033","2,915","$11,801,271","2,915",2-19,5-19,/movies/?id=risen.htm
79,The Nice Guys,WB,"$36,261,763","2,865","$11,203,270","2,865",5-20,8-4,/movies/?id=niceguys.htm
80,The Boy (2016),STX,"$35,819,556","2,671","$10,778,392","2,671",1-22,3-31,/movies/?id=boy2016.htm
81,Dirty Grandpa,LGF,"$35,593,113","2,912","$11,111,875","2,912",1-22,3-17,/movies/?id=dirtygrandpa.htm
82,Ouija: Origin of Evil,Uni.,"$35,144,505","3,168","$14,065,500","3,167",10-21,12-29,/movies/?id=blumhouse3.htm
83,The 5th Wave,Sony,"$34,916,787","2,908","$10,326,356","2,908",1-22,5-26,/movies/?id=5thwave.htm
84,Inferno,Sony,"$34,343,574","3,576","$14,860,425","3,576",10-28,1-19,/movies/?id=inferno2015.htm
85,Mother's Day,ORF,"$32,492,859","3,291","$8,369,184","3,035",4-29,6-16,/movies/?id=mothersday.htm
86,Patriots Day,LGF,"$31,886,361","3,120","$161,306",7,12-21,3-9,/movies/?id=patriotsday.htm
87,Gods of Egypt,LG/S,"$31,153,464","3,117","$14,123,903","3,117",2-26,5-12,/movies/?id=godsofegypt.htm
88,Collateral Beauty,WB (NL),"$31,016,021","3,028","$7,102,085","3,028",12-16,2-9,/movies/?id=collateralbeauty.htm
89,"Hail, Caesar!",Uni.,"$30,498,085","2,248","$11,355,225","2,232",2-5,6-30,/movies/?id=hailcaesar.htm
90,When the Bough Breaks,SGem,"$29,747,603","2,246","$14,202,323","2,246",9-9,11-17,/movies/?id=whentheboughbreaks.htm
91,Zoolander 2,Par.,"$28,848,693","3,418","$13,841,146","3,394",2-12,3-31,/movies/?id=zoolander2.htm
92,Moonlight (2016),A24,"$27,854,932","1,564","$402,075",4,10-21,5-4,/movies/?id=moonlight2016.htm
93,The Finest Hours,BV,"$27,569,558","3,143","$10,288,932","3,143",1-29,4-7,/movies/?id=finesthours.htm
94,Florence Foster Jenkins,Par.,"$27,383,770","1,528","$6,601,313","1,528",8-12,10-27,/movies/?id=florencefosterjenkins.htm
95,Hell or High Water,LGF,"$27,007,844","1,505","$621,329",32,8-12,11-17,/movies/?id=hellorhighwater.htm
96,The Forest,Focus,"$26,594,261","2,509","$12,741,176","2,451",1-8,3-17,/movies/?id=forest.htm
97,Ben-Hur (2016),Par.,"$26,410,477","3,084","$11,203,815","3,084",8-19,10-6,/movies/?id=benhur2016.htm
98,The Witch,A24,"$25,138,705","2,204","$8,800,230","2,046",2-19,5-26,/movies/?id=thewitch.htm
99,Bridget Jones's Baby,Uni.,"$24,252,420","2,930","$8,571,785","2,927",9-16,12-15,/movies/?id=bridgetjonessbaby.htm
100,Kevin Hart: What Now?,Uni.,"$23,591,043","2,567","$11,767,210","2,567",10-14,12-15,/movies/?id=kevinhart2016.htm
Summary of 737 Movies on Chart:,,,,,,,,,
Totals:,"$11,373,416,438",-,-,-,-,-,,,
Averages:,"$15,432,044",-,-,-,-,-,,,
,,,,,,,,,
Next Year >,,,,,,,,,
